team_name,team_id,stadium_id,city_id
Arizona Cardinals,1,101,201
Atlanta Falcons,2,102,202
Baltimore Ravens,3,103,203
Buffalo Bills,4,104,204
Carolina Panthers,5,105,205
Chicago Bears,6,106,206
Cincinnati Bengals,7,107,207
Cleveland Browns,8,108,208
Dallas Cowboys,9,109,209
Denver Broncos,10,110,210
Detroit Lions,11,111,211
Green Bay Packers,12,112,212
Houston Texans,13,113,213
Indianapolis Colts,14,114,214
Jacksonville Jaguars,15,115,215
Kansas City Chiefs,16,116,216
Las Vegas Raiders,17,117,217
Los Angeles Chargers,18,118,218
Los Angeles Rams,19,118,218
Miami Dolphins,20,119,219
Minnesota Vikings,21,120,220
New England Patriots,22,121,221
New Orleans Saints,23,122,222
New York Giants,24,123,223
New York Jets,25,123,223
Philadelphia Eagles,26,124,224
Pittsburgh Steelers,27,125,225
San Francisco 49ers,28,126,226
Seattle Seahawks,29,127,227
Tampa Bay Buccaneers,30,128,228
Tennessee Titans,31,129,229
Washington Commanders,32,130,230
