team_id,Instagram,Facebook,X
1,1200000,1300000.0,1160000.0
2,1400000,1800000.0,2440000.0
3,2200000,2200000.0,1870000.0
4,1900000,1000000.0,1710000.0
5,1900000,2100000.0,3070000.0
6,1700000,3700000.0,2050000.0
7,1700000,1200000.0,1530000.0
8,1500000,1200000.0,1610000.0
9,4900000,8200000.0,4380000.0
10,1500000,3900000.0,2770000.0
11,987000,1800000.0,1580000.0
12,2800000,5000000.0,2590000.0
13,1800000,2000000.0,1960000.0
14,924000,2000000.0,1240000.0
15,769000,650000.0,840000.0
16,4000000,2000000.0,2390000.0
17,2000000,3100000.0,1930000.0
18,1000000,1400000.0,1100000.0
19,2000000,910000.0,1240000.0
20,2000000,2100000.0,1260000.0
21,1500000,2000000.0,1550000.0
22,5000000,6500000.0,4670000.0
23,2100000,3800000.0,1750000.0
24,2800000,3600000.0,2000000.0
25,1200000,1700000.0,1380000.0
26,3800000,3100000.0,3790000.0
27,3700000,5900000.0,3750000.0
28,3800000,3900000.0,2420000.0
29,3400000,3600000.0,2560000.0
30,1500000,1200000.0,1290000.0
31,869000,970000.0,1060000.0
32,1000000,1700000.0,1410000.0
