"team_name","average_national_tv_viewers_milions","city","state","population"
"Arizona Cardinals",13.8,"Glendale"," Arizona",253855
"Atlanta Falcons",6.8,"Atlanta"," Georgia",510823
"Baltimore Ravens",14.5,"Baltimore"," Maryland",565239
"Buffalo Bills",20.9,"Buffalo"," New York",274678
"Carolina Panthers",6.8,"Charlotte","North Carolina",911311
"Chicago Bears",15.7,"Chicago","Illinois",2664452
"Cincinnati Bengals",19.9,"Cincinnati"," Ohio",311097
"Cleveland Browns",11.3,"Cleveland"," Ohio",362656
"Dallas Cowboys",25.5,"Arlington"," Texas",398431
"Denver Broncos",18.1,"Denver"," Colorado",716577
"Detroit Lions",27,"Detroit"," Michigan",633218
"Green Bay Packers",22.4,"Green Bay"," Wisconsin",105744
"Houston Texans",7.9,"Houston"," Texas",2314157
"Indianapolis Colts",13.3,"Indianapolis","Indiana",879293
"Jacksonville Jaguars",19,"Jacksonville"," Florida",985843
"Kansas City Chiefs",20.1,"Kansas City"," Missouri",510704
"Las Vegas Raiders",16.8,"Las Vegas"," Nevada",660929
"Los Angeles Chargers",14.5,"Los Angeles"," California",3820914
"Los Angeles Rams",20.5,"Los Angeles"," California",3820914
"Miami Dolphins",19.1,"Miami"," Florida",455924
"Minnesota Vikings",21.7,"Minneapolis"," Minnesota",425115
"New England Patriots",17.9,"Boston"," Massachusetts",653833
"New Orleans Saints",10.9,"New Orleans"," Louisiana",364136
"New York Giants",25.6,"New York"," New York",8258035
"New York Jets",8.3,"New York"," New York",8258035
"Philadelphia Eagles",18.8,"Philadelphia"," Pennsylvania",1550542
"Pittsburgh Steelers",14.5,"Pittsburgh"," Pennsylvania",303255
"San Francisco 49ers",18.4,"San Francisco"," California",808988
"Seattle Seahawks",19.8,"Seattle"," Washington",755078
"Tampa Bay Buccaneers",20.6,"Tampa"," Florida",403364
"Tennessee Titans",14.9,"Nashville","Tennessee",687788
"Washington Commanders",16.2,"Washington"," District of Columbia",678972
