"team_name","home_attendance","capacity"
"Arizona Cardinals",502912,63400
"Atlanta Falcons",556828,71000
"Baltimore Ravens",635380,71008
"Buffalo Bills",626483,71608
"Carolina Panthers",573086,75523
"Chicago Bears",494157,61500
"Cincinnati Bengals",594361,65515
"Cleveland Browns",610295,67895
"Dallas Cowboys",748755,80000
"Denver Broncos",687498,76125
"Detroit Lions",518741,65000
"Green Bay Packers",622636,81441
"Houston Texans",640742,72220
"Indianapolis Colts",587393,67000
"Jacksonville Jaguars",621599,69132
"Kansas City Chiefs",638715,76416
"Las Vegas Raiders",559713,65500
"Los Angeles Chargers",627632,27000
"Los Angeles Rams",585204,27000
"Miami Dolphins",593304,65326
"Minnesota Vikings",535308,66655
"New England Patriots",567168,66829
"New Orleans Saints",560164,73208
"New York Giants",634459,82500
"New York Jets",701011,82500
"Philadelphia Eagles",559032,69596
"Pittsburgh Steelers",602796,68400
"San Francisco 49ers",573245,68500
"Seattle Seahawks",549886,69000
"Tampa Bay Buccaneers",510321,65890
"Tennessee Titans",580686,69143
"Washington Commanders",511606,63000
