Team Name,Instagram,Facebook,X
Arizona  Caridnal,1200000,1300000.0,1160000.0
Atlanta Falcons,1400000,1800000.0,2440000.0
Baltimore Ravens,2200000,2200000.0,1870000.0
Buffalo Bills,1900000,1000000.0,1710000.0
Carolina Panthers,1900000,2100000.0,3070000.0
Chicago Bears,1700000,3700000.0,2050000.0
Cincinnati Bengals,1700000,1200000.0,1530000.0
Cleveland Browns,1500000,1200000.0,1610000.0
Dallas Cowboys,4900000,8200000.0,4380000.0
Denver Broncos,1500000,3900000.0,2770000.0
Detroit Lions,987000,1800000.0,1580000.0
Green Bay Packers,2800000,5000000.0,2590000.0
Houston Texans,1800000,2000000.0,1960000.0
Indianapolis Colts,924000,2000000.0,1240000.0
Jacksonville Jaguars,769000,650000.0,840000.0
Kansas City Chiefs,4000000,2000000.0,2390000.0
Las Vegas Raiders,2000000,3100000.0,1930000.0
Los Angeles Chargers,1000000,1400000.0,1100000.0
Los Angeles Rams,2000000,910000.0,1240000.0
Miami Dolphins,2000000,2100000.0,1260000.0
Minnesota Vikings,1500000,2000000.0,1550000.0
New England Patriots,5000000,6500000.0,4670000.0
New Orleans Saints,2100000,3800000.0,1750000.0
New York Giants,2800000,3600000.0,2000000.0
New York Jets,1200000,1700000.0,1380000.0
Philadelphia Eagles,3800000,3100000.0,3790000.0
Pittsburgh Steelers,3700000,5900000.0,3750000.0
San Francisco 49ers,3800000,3900000.0,2420000.0
Seattle Seahawks,3400000,3600000.0,2560000.0
Tampa Bay Buccaneers,1500000,1200000.0,1290000.0
Tennessee Titans,869000,970000.0,1060000.0
Washington Commanders,1000000,1700000.0,1410000.0
